[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001215s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001289s ]
[ 2012-09-28T03:42:28+08:00 ] /taodandan/demos.css | ERR: (ThinkException) 无法加载模块Demos.css
[ 2012-09-28T03:42:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ route_check ] --START--
[ 2012-09-28T03:42:30+08:00 ] /taodandan/login/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.001630s ]
[ 2012-09-28T03:42:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001735s ]
[ 2012-09-28T03:42:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:42:30+08:00 ] /taodandan/login/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001373s ]
[ 2012-09-28T03:42:30+08:00 ] /taodandan/login/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001451s ]
[ 2012-09-28T03:50:44+08:00 ] /taodandan/login/login.html?top_appkey=1012681999&top_parameters=ZXhwaXJlc19pbj04NjQwMCZocmFfZXhwaXJlc19pbj0xODAwJmlmcmFtZT0xJnIxX2V4cGlyZXNfaW49MTgwMCZyMl9leHBpcmVzX2luPTAmcmVfZXhwaXJlc19pbj0xNTU1MjAwMCZyZWZyZXNoX3Rva2VuPTYxMDI0MDRlOTM1NzE4YWMyOTY4NWM2ZmY2NzgyMjdjOTNlY2VjYjgyYjM3YzcwMjA3NDA4Mjc4NiZ0cz0xMzQ4Nzc0OTgwNDEyJnZpc2l0b3JfaWQ9MjA3NDA4Mjc4NiZ2aXNpdG9yX25pY2s9c2FuZGJveF9jXzEmdzFfZXhwaXJlc19pbj0xODAwJncyX2V4cGlyZXNfaW49MA%3D%3D&top_session=610180423d74181a7729155fd5659fc4eaf3f8cd9ac1c222074082786&encode=utf-8&agreement=true&agreementsign=1012681999-22479582-2074082786-CE2976C15BAC5948F7E865E9BBF26D23&top_sign=olQL2t9b3N5B3Y%2FETjq%2BEw%3D%3D | INFO: Tag[ route_check ] --START--
