[ 2012-06-29T13:53:05+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name=''  [ RunTime:0.000193s ]
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000671s ]
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000756s ]
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000410s ]
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000467s ]
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000720s ]
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admin'  [ RunTime:0.000229s ]
[ 2012-06-29T13:53:11+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined index: password indexAction.class.php 第 26 行.
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000671s ]
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000752s ]
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000398s ]
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000459s ]
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000586s ]
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admin'  [ RunTime:0.000178s ]
[ 2012-06-29T13:53:44+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined index: password indexAction.class.php 第 26 行.
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000649s ]
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000726s ]
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000387s ]
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000439s ]
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000594s ]
[ 2012-06-29T13:54:31+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admind'  [ RunTime:0.000176s ]
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000656s ]
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000735s ]
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000399s ]
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000455s ]
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000652s ]
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name='admin'  [ RunTime:0.000207s ]
[ 2012-06-29T13:54:51+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined index: password indexAction.class.php 第 26 行.
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000415s ]
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000488s ]
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000227s ]
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000282s ]
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005637s ]
[ 2012-06-29T14:02:30+08:00 ] /top/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005707s ]
